datetime,open,high,low,close,volume,stock_code,stock_name
2025-06-27 09:00:00,263500.0,264027.0,262973.0,263500.0,29701,035420,네이버
2025-06-27 09:05:00,263500.0,264027.0,262896.2307692308,263423.07692307694,29701,035420,네이버
2025-06-27 09:10:00,263500.0,264027.0,262819.46153846156,263346.1538461539,29701,035420,네이버
2025-06-27 09:15:00,263500.0,264027.0,262742.6923076923,263269.23076923075,29701,035420,네이버
2025-06-27 09:20:00,263492.3076923077,264019.2923076923,262665.92307692306,263192.3076923077,29701,035420,네이버
2025-06-27 09:25:00,263415.3846153846,263942.2153846154,262589.1538461539,263115.3846153846,29701,035420,네이버
2025-06-27 09:30:00,263338.46153846156,263865.1384615385,262512.3846153846,263038.46153846156,29701,035420,네이버
2025-06-27 09:35:00,263261.53846153844,263788.06153846154,262435.6153846154,262961.53846153844,29701,035420,네이버
2025-06-27 09:40:00,263184.6153846154,263710.9846153846,262358.8461538461,262884.6153846154,29701,035420,네이버
2025-06-27 09:45:00,263107.6923076923,263633.9076923077,262282.07692307694,262807.6923076923,29701,035420,네이버
2025-06-27 09:50:00,263030.76923076925,263556.8307692308,262205.3076923077,262730.76923076925,29701,035420,네이버
2025-06-27 09:55:00,262953.8461538461,263479.7538461538,262128.53846153844,262653.8461538461,29701,035420,네이버
2025-06-27 10:00:00,262876.92307692306,263402.6769230769,262051.76923076922,262576.92307692306,29701,035420,네이버
2025-06-27 10:05:00,262800.0,263325.6,261975.0,262500.0,29701,035420,네이버
2025-06-27 10:10:00,262723.07692307694,263248.5230769231,261898.23076923078,262423.07692307694,29701,035420,네이버
2025-06-27 10:15:00,262646.1538461539,263171.44615384616,261821.46153846156,262346.1538461539,29701,035420,네이버
2025-06-27 10:20:00,262569.23076923075,263094.3692307692,261744.69230769228,262269.23076923075,29701,035420,네이버
2025-06-27 10:25:00,262492.3076923077,263017.2923076923,261667.92307692306,262192.3076923077,29701,035420,네이버
2025-06-27 10:30:00,262415.3846153846,262940.2153846154,261591.15384615384,262115.38461538462,29701,035420,네이버
2025-06-27 10:35:00,262338.46153846156,262863.1384615385,261514.3846153846,262038.46153846153,29701,035420,네이버
2025-06-27 10:40:00,262261.53846153844,262786.06153846154,261437.6153846154,261961.53846153847,29701,035420,네이버
2025-06-27 10:45:00,262184.6153846154,262708.9846153846,261360.84615384616,261884.61538461538,29701,035420,네이버
2025-06-27 10:50:00,262107.6923076923,262631.9076923077,261284.07692307694,261807.6923076923,29701,035420,네이버
2025-06-27 10:55:00,262030.76923076922,262554.8307692308,261207.3076923077,261730.76923076922,29701,035420,네이버
2025-06-27 11:00:00,261953.84615384616,262477.75384615385,261130.53846153847,261653.84615384616,29701,035420,네이버
2025-06-27 11:05:00,261876.92307692306,262400.6769230769,261053.76923076922,261576.92307692306,29701,035420,네이버
2025-06-27 11:10:00,261800.0,262323.6,260977.0,261500.0,29701,035420,네이버
2025-06-27 11:15:00,261723.07692307694,262246.5230769231,260900.23076923078,261423.07692307694,29701,035420,네이버
2025-06-27 11:20:00,261646.15384615384,262169.44615384616,260823.46153846153,261346.15384615384,29701,035420,네이버
2025-06-27 11:25:00,261569.23076923078,262092.36923076925,260746.6923076923,261269.23076923078,29701,035420,네이버
2025-06-27 11:30:00,261492.3076923077,262015.29230769232,260669.92307692306,261192.3076923077,29701,035420,네이버
2025-06-27 11:35:00,261415.38461538462,261938.21538461538,260593.15384615384,261115.38461538462,29701,035420,네이버
2025-06-27 11:40:00,261338.46153846153,261861.13846153844,260516.3846153846,261038.46153846153,29701,035420,네이버
2025-06-27 11:45:00,261261.53846153847,261784.06153846154,260439.6153846154,260961.53846153847,29701,035420,네이버
2025-06-27 11:50:00,261184.61538461538,261706.9846153846,260362.84615384616,260884.61538461538,29701,035420,네이버
2025-06-27 11:55:00,261107.6923076923,261629.9076923077,260286.07692307694,260807.6923076923,29701,035420,네이버
2025-06-27 12:00:00,261030.76923076922,261552.83076923076,260209.3076923077,260730.76923076922,29701,035420,네이버
2025-06-27 12:05:00,260953.84615384616,261475.75384615385,260132.53846153847,260653.84615384616,29701,035420,네이버
2025-06-27 12:10:00,260876.92307692306,261398.6769230769,260055.76923076922,260576.92307692306,29701,035420,네이버
2025-06-27 12:15:00,260800.0,261321.6,259979.0,260500.0,29701,035420,네이버
2025-06-27 12:20:00,260723.07692307694,261244.5230769231,259902.23076923078,260423.07692307694,29701,035420,네이버
2025-06-27 12:25:00,260646.15384615384,261167.44615384616,259825.46153846153,260346.15384615384,29701,035420,네이버
2025-06-27 12:30:00,260569.23076923078,261090.36923076925,259748.6923076923,260269.23076923078,29701,035420,네이버
2025-06-27 12:35:00,260492.3076923077,261013.29230769232,259671.92307692306,260192.3076923077,29701,035420,네이버
2025-06-27 12:40:00,260415.38461538462,260936.21538461538,259595.15384615384,260115.38461538462,29701,035420,네이버
2025-06-27 12:45:00,260338.46153846153,260859.13846153844,259518.3846153846,260038.46153846153,29701,035420,네이버
2025-06-27 12:50:00,260261.53846153847,260782.06153846154,259441.6153846154,259961.53846153847,29701,035420,네이버
2025-06-27 12:55:00,260184.61538461538,260704.9846153846,259364.84615384616,259884.61538461538,29701,035420,네이버
2025-06-27 13:00:00,260107.6923076923,260627.9076923077,259288.07692307694,259807.6923076923,29701,035420,네이버
2025-06-27 13:05:00,260030.76923076922,260550.83076923076,259211.3076923077,259730.76923076922,29701,035420,네이버
2025-06-27 13:10:00,259953.84615384616,260473.75384615385,259134.53846153847,259653.84615384616,29701,035420,네이버
