datetime,equity,in_position
2021-03-09,1.0,0
2021-03-10,1.0,0
2021-03-11,1.0,0
2021-03-12,1.0,0
2021-03-15,1.0,0
2021-03-16,1.0,0
2021-03-17,1.0,0
2021-03-18,1.0,0
2021-03-19,1.0,0
2021-03-22,1.0,0
2021-03-23,1.0,0
2021-03-24,1.0,0
2021-03-25,1.0,0
2021-03-26,1.0,0
2021-03-29,1.0,0
2021-03-30,1.0,0
2021-03-31,1.0,0
2021-04-01,1.0,0
2021-04-02,1.0,0
2021-04-05,1.0,0
2021-04-06,1.0,0
2021-04-07,1.0,0
2021-04-08,1.0,0
2021-04-09,1.0,0
2021-04-12,1.0,0
2021-04-13,1.0,0
2021-04-14,1.0,0
2021-04-15,1.0,0
2021-04-16,1.0,0
2021-04-19,1.0,0
2021-04-20,1.0,0
2021-04-21,1.0,0
2021-04-22,1.0,0
2021-04-23,1.0,0
2021-04-26,1.0,0
2021-04-27,1.0,0
2021-04-28,1.0,0
2021-04-29,1.0,0
2021-04-30,1.0,0
2021-05-03,1.0,0
2021-05-04,1.0,0
2021-05-06,1.0,0
2021-05-07,1.0,0
2021-05-10,1.0,0
2021-05-11,1.0,0
2021-05-12,1.0,0
2021-05-13,1.0,0
2021-05-14,1.0,0
2021-05-17,1.0,0
2021-05-18,1.0,0
2021-05-20,1.0,0
2021-05-21,1.0,0
2021-05-24,1.0,0
2021-05-25,1.0,0
2021-05-26,1.0,0
2021-05-27,1.0,0
2021-05-28,1.0,0
2021-05-31,1.0,0
2021-06-01,1.0,0
2021-06-02,1.0042194092827004,1
2021-06-03,1.0063291139240507,1
2021-06-04,1.018987341772152,1
2021-06-07,1.018987341772152,1
2021-06-08,1.0274261603375527,1
2021-06-09,1.010548523206751,1
2021-06-10,0.9957805907172995,1
2021-06-11,1.0063291139240507,1
2021-06-14,1.0042194092827004,1
2021-06-15,1.0,1
2021-06-16,1.010548523206751,1
2021-06-17,0.9978902953586498,1
2021-06-18,0.9915611814345993,1
2021-06-21,0.9831223628691984,1
2021-06-22,1.0168776371308017,1
2021-06-23,1.0232067510548524,1
2021-06-24,1.0232067510548524,1
2021-06-25,1.0253164556962027,1
2021-06-28,1.016877637130802,1
2021-06-29,1.0105485232067513,1
2021-06-30,1.0105485232067513,1
2021-07-01,1.0210970464135023,1
2021-07-02,1.008438818565401,1
2021-07-05,0.9957805907172997,1
2021-07-06,0.9957805907172997,1
2021-07-07,0.9789029535864981,1
2021-07-08,0.9683544303797471,1
2021-07-09,0.9535864978902956,1
2021-07-12,0.9704641350210973,1
2021-07-13,0.9704641350210973,1
2021-07-14,0.9704641350210973,1
2021-07-15,0.976793248945148,1
2021-07-16,0.9704641350210973,1
2021-07-19,0.9599156118143461,1
2021-07-20,0.957805907172996,1
2021-07-21,0.9620253164556964,1
2021-07-22,0.9641350210970467,1
2021-07-23,0.9514767932489454,1
2021-07-26,0.947257383966245,1
2021-07-27,0.947257383966245,0
2021-07-28,0.947257383966245,0
2021-07-29,0.947257383966245,0
2021-07-30,0.947257383966245,0
2021-08-02,0.947257383966245,0
2021-08-03,0.947257383966245,0
2021-08-04,0.947257383966245,0
2021-08-05,0.947257383966245,0
2021-08-06,0.947257383966245,0
2021-08-09,0.947257383966245,0
2021-08-10,0.947257383966245,0
2021-08-11,0.947257383966245,0
2021-08-12,0.947257383966245,0
2021-08-13,0.947257383966245,0
2021-08-17,0.947257383966245,0
2021-08-18,0.947257383966245,0
2021-08-19,0.947257383966245,0
2021-08-20,0.947257383966245,0
2021-08-23,0.947257383966245,0
