datetime,equity,in_position
2021-03-09,1.0,0
2021-03-10,1.0,0
2021-03-11,1.0,0
2021-03-12,1.0,0
2021-03-15,1.0,0
2021-03-16,1.0,0
2021-03-17,1.0,0
2021-03-18,1.0,0
2021-03-19,1.0,0
2021-03-22,1.0,0
2021-03-23,1.0,0
2021-03-24,1.0,0
2021-03-25,1.0,0
2021-03-26,1.0,0
2021-03-29,1.0,0
2021-03-30,1.0,0
2021-03-31,1.0,0
2021-04-01,1.0,0
2021-04-02,1.0,0
2021-04-05,1.0,0
2021-04-06,1.0,0
2021-04-07,1.0,0
2021-04-08,1.0,0
2021-04-09,1.0,0
2021-04-12,1.0,0
2021-04-13,1.0,0
2021-04-14,1.0,0
2021-04-15,1.0,0
2021-04-16,1.0,0
2021-04-19,1.0,0
2021-04-20,1.0,0
2021-04-21,1.0,0
2021-04-22,1.0,0
2021-04-23,1.0,0
2021-04-26,1.0,0
2021-04-27,1.0,0
2021-04-28,1.0,0
2021-04-29,1.0,0
2021-04-30,1.0,0
2021-05-03,1.0,0
2021-05-04,1.0,0
2021-05-06,1.0,0
2021-05-07,1.0,0
2021-05-10,1.0,0
2021-05-11,1.0,0
2021-05-12,1.0,0
2021-05-13,1.0,0
2021-05-14,1.0,0
2021-05-17,1.0,0
2021-05-18,1.0,0
2021-05-20,1.0,0
2021-05-21,1.0,0
2021-05-24,1.0,0
2021-05-25,1.0,0
2021-05-26,1.0,0
2021-05-27,1.0,0
2021-05-28,1.0,0
2021-05-31,1.0,0
2021-06-01,1.0,0
2021-06-02,1.0,0
2021-06-03,1.0,0
2021-06-04,1.0,0
2021-06-07,1.0,0
2021-06-08,1.0,0
2021-06-09,1.0,0
2021-06-10,1.0,0
2021-06-11,1.0,0
2021-06-14,1.0,0
2021-06-15,1.0,0
2021-06-16,1.0,0
2021-06-17,1.0,0
2021-06-18,1.0,0
2021-06-21,1.0,0
2021-06-22,0.9848866498740554,1
2021-06-23,1.066750629722922,1
2021-06-24,1.0566750629722923,1
2021-06-25,1.0327455919395467,1
2021-06-28,1.027707808564232,1
2021-06-29,1.036523929471033,1
2021-06-30,1.0516372795969775,1
2021-07-01,1.040302267002519,1
2021-07-02,1.0428211586901766,1
2021-07-05,1.0327455919395467,1
2021-07-06,1.031486146095718,1
2021-07-07,1.0516372795969775,1
2021-07-08,1.062972292191436,1
2021-07-09,1.0465994962216627,1
2021-07-12,1.054156171284635,1
2021-07-13,1.110831234256927,1
2021-07-14,1.1183879093198994,1
2021-07-15,1.1309823677581865,1
2021-07-16,1.1259445843828717,1
2021-07-19,1.1158690176322419,1
2021-07-20,1.1057934508816123,1
2021-07-21,1.0780856423173806,1
2021-07-22,1.1083123425692696,1
2021-07-23,1.1385390428211588,1
2021-07-26,1.1385390428211588,1
2021-07-27,1.1385390428211588,1
2021-07-28,1.1133501259445844,1
2021-07-29,1.1070528967254407,1
2021-07-30,1.091939546599496,1
2021-08-02,1.091939546599496,1
2021-08-03,1.0780856423173801,1
2021-08-04,1.0906801007556672,1
2021-08-05,1.1146095717884128,1
2021-08-06,1.1196473551637276,1
2021-08-09,1.1272040302267,1
2021-08-10,1.1246851385390424,1
2021-08-11,1.1209068010075562,1
2021-08-12,1.1095717884130978,1
2021-08-13,1.099496221662468,1
2021-08-17,1.0793450881612086,1
2021-08-18,1.0806045340050372,1
2021-08-19,1.0692695214105787,1
2021-08-20,1.064231738035264,1
2021-08-23,1.0818639798488658,1
2021-08-24,1.1020151133501253,1
2021-08-25,1.0843828715365231,1
2021-08-26,1.0667506297229212,1
