datetime,equity,in_position
2021-03-09,1.0,0
2021-03-10,1.0,0
2021-03-11,1.0,0
2021-03-12,1.0,0
2021-03-15,1.0,0
2021-03-16,1.0,0
2021-03-17,1.0,0
2021-03-18,1.0,0
2021-03-19,1.0,0
2021-03-22,1.0,0
2021-03-23,1.0,0
2021-03-24,1.0,0
2021-03-25,1.0,0
2021-03-26,1.0,0
2021-03-29,1.0,0
2021-03-30,1.0,0
2021-03-31,1.0,0
2021-04-01,1.0,0
2021-04-02,1.0,0
2021-04-05,1.0,0
2021-04-06,1.0,0
2021-04-07,1.0,0
2021-04-08,1.0,0
2021-04-09,1.0,0
2021-04-12,1.0,0
2021-04-13,1.0,0
2021-04-14,1.0,0
2021-04-15,1.0,0
2021-04-16,1.0,0
2021-04-19,1.0,0
2021-04-20,1.0,0
2021-04-21,0.9845053635280095,1
2021-04-22,0.9821215733015495,1
2021-04-23,0.9868891537544696,1
2021-04-26,0.9952324195470799,1
2021-04-27,0.9880810488676997,1
2021-04-28,0.9785458879618594,1
2021-04-29,0.9737783075089392,1
2021-04-30,0.9713945172824792,1
2021-05-03,0.9737783075089392,1
2021-05-04,0.9845053635280097,1
2021-05-06,0.9809296781883196,1
2021-05-07,0.9761620977353994,1
2021-05-10,0.9916567342073899,1
2021-05-11,0.9678188319427892,1
2021-05-12,0.9678188319427892,0
2021-05-13,0.9678188319427892,0
2021-05-14,0.9678188319427892,0
2021-05-17,0.9678188319427892,0
2021-05-18,0.9678188319427892,0
2021-05-20,0.9678188319427892,0
2021-05-21,0.9678188319427892,0
2021-05-24,0.9678188319427892,0
2021-05-25,0.9678188319427892,0
2021-05-26,0.9678188319427892,0
2021-05-27,0.9678188319427892,0
2021-05-28,0.9678188319427892,0
2021-05-31,0.9678188319427892,0
2021-06-01,0.9678188319427892,0
2021-06-02,0.9678188319427892,0
2021-06-03,0.9678188319427892,0
2021-06-04,0.9678188319427892,0
2021-06-07,0.9678188319427892,0
2021-06-08,0.9678188319427892,0
2021-06-09,0.9678188319427892,0
2021-06-10,0.9678188319427892,0
2021-06-11,0.9678188319427892,0
2021-06-14,0.9678188319427892,0
2021-06-15,0.9678188319427892,0
2021-06-16,0.9678188319427892,0
2021-06-17,0.9678188319427892,0
2021-06-18,0.9678188319427892,0
2021-06-21,0.9678188319427892,0
2021-06-22,0.9678188319427892,0
2021-06-23,0.9678188319427892,0
2021-06-24,0.9678188319427892,0
2021-06-25,0.9678188319427892,0
2021-06-28,0.9678188319427892,0
2021-06-29,0.9678188319427892,0
2021-06-30,0.9678188319427892,0
2021-07-01,0.9678188319427892,0
2021-07-02,0.9678188319427892,0
2021-07-05,0.9678188319427892,0
2021-07-06,0.9678188319427892,0
2021-07-07,0.9678188319427892,0
2021-07-08,0.9678188319427892,0
2021-07-09,0.9678188319427892,0
2021-07-12,0.9678188319427892,0
2021-07-13,0.9678188319427892,0
2021-07-14,0.9678188319427892,0
2021-07-15,0.9678188319427892,0
2021-07-16,0.9678188319427892,0
2021-07-19,0.9678188319427892,0
2021-07-20,0.9678188319427892,0
2021-07-21,0.9678188319427892,0
2021-07-22,0.9678188319427892,0
2021-07-23,0.9678188319427892,0
2021-07-26,0.9678188319427892,0
2021-07-27,0.9678188319427892,0
2021-07-28,0.9678188319427892,0
2021-07-29,0.9678188319427892,0
2021-07-30,0.9678188319427892,0
2021-08-02,0.9678188319427892,0
2021-08-03,0.9678188319427892,0
2021-08-04,0.9678188319427892,0
2021-08-05,0.9678188319427892,0
2021-08-06,0.9678188319427892,0
